SepalLength,SepalWidth,PetalLength,Class
5.1,3.5,1.4,Setosa
4.9,3,1.4,Setosa
5,3.4,1.5,Setosa
5.4,3.9,1.7,Setosa
4.6,3.1,1.5,Setosa
5,3.4,1.4,Setosa
4.4,2.9,1.4,Setosa
4.9,3.1,1.5,Setosa
5.4,3.7,1.5,Setosa
4.8,3.4,1.6,Setosa
7,3.2,4.7,Versicolor
6.4,3.2,4.5,Versicolor
6.9,3.1,4.9,Versicolor
5.5,2.3,4,Versicolor
6.5,2.8,4.6,Versicolor
5.7,2.8,4.5,Versicolor
6.3,3.3,4.7,Versicolor
4.9,2.4,3.3,Versicolor
6.6,2.9,4.6,Versicolor
5.2,2.7,3.9,Versicolor
6.3,3.3,6,Virginica
5.8,2.7,5.1,Virginica
7.1,3,5.9,Virginica
6.5,3,5.8,Virginica
7.6,3,6.6,Virginica
4.9,2.5,4.5,Virginica
7.3,2.9,6.3,Virginica
6.7,2.5,5.8,Virginica
7.2,3.6,6.1,Virginica
6.5,3.2,5.1,Virginica
